feature,total_freq,doc_freq,prevalence,entropy,entropy_norm,gini,idf_like,idf_norm,weighted_score,prior_mult,final_raw,variant_likelihood,label
n for m,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for o,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for r,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
n for t,5.0,3.0,0.3,1.5219280948873621,0.45814600780483383,0.74,0.9162907318741551,0.3979400086720376,0.46422750325201406,1.0,0.46422750325201406,0.44654630699648845,reading
n for v,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for āi,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for ē,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for ī,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for ń,16.0,6.0,0.6,2.224601752714581,0.6696718559737553,0.625,0.3566749439387324,0.15490195998574316,0.5569032579913004,1.0,0.5569032579913004,0.5845353068399486,reading
n for š,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
n for ṇ,7.0,4.0,0.4,1.9502120649147465,0.58707232944513,0.6428571428571429,0.6931471805599453,0.30102999566398114,0.4926368674251653,1.0,0.4926368674251653,0.4889570971761507,reading
n inserted,55.0,9.0,0.9,2.897555898981894,0.8722512397066627,0.39818181818181825,0.0,0.0,0.6326082644721203,1.0,0.6326082644721203,0.6890431172942607,variant
o for a,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
o for u,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
o for ō,43.0,6.0,0.6,1.9120880951485084,0.5755958709917056,0.7093023255813954,0.3566749439387324,0.15490195998574316,0.5544598431411367,1.0,0.5544598431411367,0.5809705976166554,reading
o for ū,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
o inserted,1216.0,6.0,0.6,1.6473425664022365,0.49589952562115697,0.7304276315789473,0.3566749439387324,0.15490195998574316,0.5398170832978876,1.0,0.5398170832978876,0.5594431698934654,reading
ou for au,5.0,2.0,0.2,0.7219280948873623,0.2173220112736489,0.86,1.2039728043259361,0.5228787452803376,0.41776231461046287,1.0,0.41776231461046287,0.37908679591910466,reading
ou for aō,35.0,7.0,0.7,2.5866053466680814,0.7786457962919232,0.5,0.22314355131420976,0.0969100130080564,0.5791979510241893,1.0,0.5791979510241893,0.6166108795823664,variant
ou for u,5.0,2.0,0.2,0.7219280948873623,0.2173220112736489,0.86,1.2039728043259361,0.5228787452803376,0.41776231461046287,1.0,0.41776231461046287,0.37908679591910466,reading
ou for ō,40.0,8.0,0.8,2.2403954495855345,0.6744262324743366,0.625,0.10536051565782635,0.04575749056067514,0.6117201817026854,1.0,0.6117201817026854,0.6615750529452229,variant
ou for ōi,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ou inserted,6.0,2.0,0.2,0.6500224216483541,0.1956762467702946,0.8666666666666666,1.2039728043259361,0.5228787452803376,0.4140175401512909,1.0,0.4140175401512909,0.373812676288446,reading
p deleted,6.0,3.0,0.3,1.4591479170272448,0.43924729113581873,0.7666666666666667,0.9162907318741551,0.3979400086720376,0.466169490751427,1.0,0.466169490751427,0.44942775730928997,reading
p for f,16.0,4.0,0.4,1.882856063692049,0.5667961526891182,0.6875,0.6931471805599453,0.30102999566398114,0.49872853752187674,1.0,0.49872853752187674,0.4980928155323656,reading
p for n,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
p for v,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
p for š,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
p for β,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
p for ϑ,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
p inserted,14.0,5.0,0.5,2.067031495157584,0.6222384820246001,0.6571428571428571,0.5108256237659907,0.22184874961635637,0.5281226472343178,1.0,0.5281226472343178,0.5420841672081328,reading
r deleted,16.0,6.0,0.6,2.48345859334435,0.7475955295861265,0.5125,0.3566749439387324,0.15490195998574316,0.5482591763943931,1.0,0.5482591763943931,0.5718872003650175,reading
r for c,2.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
r for h,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
r for n,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
