app_id,wit,lem,rdg,leading_punct_added,trailing_punct_added,cv_tail_absorbed
apparatus_multi_Y9_10mss.v3__app-Y9.7b-9-10,#ms0015,aṣ̌iš.,.aṣ̌iš.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0088,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0400,ərənāuui.,ərənāuua.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0015,aɱāi.,ahmāi,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8a-0-1,#ms0400,yō.,ẏō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8a-0-1,#ms0410,yō.,ẏō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-5-6,#ms0060,aŋhrō.,aŋraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-7-8,#ms0088,auui.,aōi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-7-8,#ms0400,auui.,aoi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-7-8,#ms0410,auui.,aoi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0088,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10a-0-1,#ms0005,āat̰.,āat̰mē.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-0-1,#ms0006,ϑritō.,ϑritiiō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-0-1,#ms0008,ϑritō.,ϑritiiō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-0-1,#ms0410,ϑritō.,ϑritiiō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-10-11,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0088,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-12-13,#ms0400,ərənāuui.,ərənāuua.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10b-14-15,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10c-2-3,#ms0005,puϑra.,puϑrō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10c-2-3,#ms0410,puϑra.,puϑrō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10c-3-4,#ms0008,us.zaiiōiϑe.,us.zaiiaōiϑi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10c-3-4,#ms0410,us.zaiiōiϑe.,us.zaiiaiti.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10d-1-2,#ms0060,ańiiō.,ańiiaō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.10e-1-2,#ms0083,ańiiō.,.ańiiō.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.10e-5-6,#ms0060,gaδauuarō.,gaδauuaraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.11a-0-1,#ms0060,yō.,yaō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.11a-0-1,#ms0400,yō.,ẏō.,0,0,1
